id,uniq_id,date_time,action_id,customer_id,quantity
1,61f5db980af0a370cfcc792a9dedffe9,2024-02-25T00:00:00,1,891,12
2,39ad6662876b394e31022179fc3397e6,2024-02-25T00:00:00,2,851,21
3,bc1fab10ff25cc87559559e3516f369c,2024-02-25T00:00:00,0,761,13
4,73460be85a5b33cd1f97a47ae5446236,2024-02-25T00:00:00,3,941,19
5,d34b1cf5cfece9fc93ec63528a26aef9,2024-02-25T00:00:00,0,341,9
6,9517b5493e5a7a8c5fe352ac68c697e5,2024-02-25T00:00:00,0,251,1
7,333827af921c35a61a04a89beb836eff,2024-02-25T00:00:00,0,790,7
8,bd18a36ce2eb5934735d4e868b05cb79,2024-02-25T00:00:00,3,10,12
9,8aef8ed0ed334dea950cdc0dcbe5ed2f,2024-02-25T00:00:00,3,221,24
10,e678e794052837ae6189c2225f8ff04f,2024-02-25T00:00:00,0,920,4
11,2555a1b249c3af894918f05446df9b1e,2024-02-25T00:00:00,1,821,11
